Species,BY4741,BY4741,elo1,elo2,elo3,elo1,elo2,elo3
TAG 16:1-18:0-18:0,0.070167254763151,0.077194546168713,0.041671655733547,0.102979445335441,0.022974822425717,0.040019377261492,0.069051845052237,0.035402300922557
TAG 14:0-18:1-20:0,0.004351199900887,0,0.002460330193603,0,0.003685551032883,0,0,0.010832515156405
TAG 14:0-16:1-22:0,0,0,0,0,0.008890865585896,0,0,0.009547773072527
TAG 16:0-16:0-18:0,0.00771290532254,0,0,0,0,0.002244131117749,0,0
TAG 18:1-18:1-18:1,0.013000235764343,0,0.081785173279716,0.087620458970829,0.003689621562634,0,0.005585303497207,0.001479927541425
TAG 18:0-18:1-18:1,0.047253299179141,0.021949878536146,0.097002606733048,0.153739628028834,0.017832785024259,0.017414478956911,0.073094297141705,0.008872452464565
TAG 16:1-16:1-22:0,0.015203084716811,0.005993630277051,0.021932097064213,0,0.106346762465207,0.004517172538018,0,0.072594371899199
TAG 16:1-18:1-20:0,0.006750471311306,0.002661286553638,0.005938015027934,0,0.006254819691851,0,0,0.00640263790973
TAG 18:0-18:0-18:1,0.025109483194347,0.029555095021446,0.039143458119563,0.047577841613657,0.005845992119668,0.009593886777768,0.024976886485295,0.013138808476
TAG 14:0-18:1-22:0,0,0,0.002001469498228,0,0.014435685661847,0,0,0.038640079371394
TAG 16:0-16:1-22:0,0.008713725471523,0,0.008891809837906,0,0.019406588358987,0,0,0.063898440673757
TAG 16:0-18:1-20:0,0.002026275173531,0,0.002001469498228,0,0,0,0,0.008033364460783
TAG 18:0-18:0-18:0,0.001739414907085,0,0.001396188141119,0,0,0.001474324504024,0,0
TAG 16:1-16:1-24:0,0.018147148121975,0,0.003382167960531,0,0.019309663775398,0.000905631807948,0,0.027021719017383
TAG 16:1-18:1-22:0,0,0,0.001301713583334,0,0.03925486554648,0,0,0.053958894950129
TAG 14:0-16:1-26:0,0.016880610834778,0,0,0,0,0.001670804174104,0,0
TAG 16:0-16:1-24:0,0.011161496781465,0.005601213089436,0,0,0,0,0,0
TAG 16:0-18:1-22:0,0,0,0,0,0.005407476393209,0,0,0.044521411928648
TAG 14:0-16:0-26:0,0,0,0,0,0,0,0,0
TAG 16:0-18:0-22:0,0,0,0,0,0,0,0,0
TAG 16:1-16:1-26:0,0.075247898011981,0.055236159996957,0.045649922451446,0,0,0.035955724155096,0,0
TAG 16:1-18:1-24:0,0.005340173407302,0,0.006189819993416,0,0,0,0,0
TAG 18:1-18:1-22:0,0,0,0,0,0,0,0,0
TAG 16:0-16:1-26:0,0.040137707906938,0.025708352095776,0.036557173823498,0,0,0.026251438080226,0.001864650685697,0
TAG 16:0-18:1-24:0,0.009453282557233,0.003213544011972,0.003374508352938,0,0,0,0,0
TAG 18:0-18:1-22:0,0,0,0,0,0,0,0,0
TAG 16:0-16:0-26:0,0,0,0,0,0,0,0,0
TAG 16:0-18:0-22:0,0,0,0,0,0,0,0,0
TAG 16:1-18:1-26:0,0.046884703571401,0.071596831840971,0.019251069628578,0,0,0.053550315681812,0,0
TAG 16:0-18:1-26:0,0.031990867769432,0.036480394808083,0.013920963880137,0,0,0.018759559426444,0,0
TAG 16:0-18:0-26:0,0,0,0,0,0,0,0,0
TAG 18:1-18:1-26:0,0,0,0,0,0,0.000746571787795,0,0
TAG 18:0-18:1-26:0,0.001901219602674,0,0,0,0,0.009530126178682,0,0
TAG 18:0-18:0-26:0,0,0,0,0,0,0,0,0
DAG 12:0-16:1,0.03624669771201,0,0,0.042310344053721,0.139245699597683,0,0.005867608133555,0.008470964915777
DAG 12:0-16:0,0.104839132573278,0.011580423045983,0.036586845755488,0.040118661640887,0.050662996696573,0.016998095721405,0.029722696957336,0.021148855783297
DAG 14:1-16:1,0,0,0,0,0.037349093262853,0,0,0
DAG 14:0-16:1,0.136804990070456,0,0.127167116556243,0.065734208910983,0.21225156070992,0.106232626764862,0.020635302876254,0.067309983847083
DAG 14:0-16:0,0.013646186840819,0.004892928252814,0.022871333985644,0.007675142223236,0,0.035151240265365,0.011049362225116,0.005013420022707
DAG 16:1-16:1,0.866499312533082,0.37977995823072,0.340908867828984,0.515164721083642,0.993351306489959,0.365531111034831,0.387224752184141,0.859011699323417
DAG 16:0-16:1,0.757486686414601,0.54470422626875,0.428457787300795,0.443926585849779,0.490436660445043,0.56967461835748,0.548412210255397,0.638699585837498
DAG 16:0-16:0,0,0.019352805017608,0,0,0,0.008453870547302,0.019975544205445,0
DAG 16:1-18:1,0.830893976144569,0.644247862749907,0.377741834640652,1.02661650972459,0.713979832623663,0.729643578554711,0.860840122165447,0.825597218607459
DAG 16:0-18:1,0.687737583642088,0.858908073764676,0.444774724680025,0.841136322060235,0.392869860677277,0.857855255433372,1.03192730433115,0.519556331171352
