Species,0086SE_IS01,0086SE_0001,0086SE_0002,0086SE_0003,0086SE_0004,0086SE_0005,0086SE_0006,0086SE_0007,0086SE_0009,0086SE_0010,0086SE_0011,0086SE_0013,0086SE_0014,0086SE_0015,0086SE_0016,0086SE_0017,0086SE_0018,0086SE_0019,0086SE_0020,0086SE_0021,0086SE_0022,0086SE_0024,0086SE_0025,0086SE_0026,0086SE_0027,0086SE_0028,0086SE_0029,0086SE_0030,0086SE_0031,0086SE_0032,0086SE_0033
PI 38:4,0,24.261,54.729,38.602,33.326,27.324,23.371,27.871,29.144,52.435,56.52,42.628,41.33,28.704,38.759,39.755,46.186,65.872,62.478,79.639,47.953,19.93,19.315,19.769,46.561,49.479,47.792,30.455,64.586,40.967,33.853
PI 38:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 40:6,0,0,3.686,0,0,0,0,0,0,3.585,3.57,3.721,2.74,2.171,3.103,2.332,0,0,3.177,4.985,0,3.504,2.98,2.199,2.642,2.715,2.412,0,2.99,3.023,3.272
SM 32:1;2,0,6.21,14.448,10.678,3.484,2.992,2.585,9.424,9.192,9.549,8.091,7.462,9.994,8.519,9.402,6.38,7.249,8.489,7.798,9.104,8.088,5.328,5.222,5.831,5.133,5.864,5.356,3.051,5.33,10.469,9.241
SM 33:1;2,0,2.957,8.432,7.015,2.543,1.987,1.542,6.251,5.719,5.363,6.711,5.93,5.076,4.612,5.019,4.241,2.296,2.957,2.282,2.606,2.897,2.754,2.576,3.527,4.355,4.712,4.247,2.693,3.822,7.616,6.054
SM 34:1;2,0,74.931,151.299,134.622,95.521,73.374,62.426,101.498,91.196,118.112,180.891,144.456,115.239,91.779,120.056,107.686,109.175,128.697,103.127,111.946,105.932,64.503,60.88,70.382,117.738,123.703,118.151,78.569,126.242,154.092,135.477
SM 34:2;2,0,7.301,15.75,13.329,9.656,7.43,5.946,14.037,11.761,20.336,20.612,21.928,11.866,9.311,11.741,13.246,14.08,17.717,12.458,14.749,11.717,5.998,5.536,6.922,12.834,13.447,12.386,9.141,17.195,15.453,15.442
SM 35:1;2,0,1.79,3.982,3.655,1.897,0,0,3.085,2.806,3.197,3.483,3.906,3.167,2.513,3.594,2.768,0,0,0,0,0,1.875,1.727,2.241,2.65,3.197,2.817,1.766,2.505,3.938,3.417
SM 36:1;2,0,13.133,23.743,21.035,26.313,22.891,19.772,20.463,19.224,28.773,36.226,38.932,24.445,19.601,26.537,29.634,17.209,18.254,13.653,16.045,18.76,15.917,14.334,16.673,27.264,30.38,25.914,19.114,30.795,26.781,24.294
SM 36:2;2,0,4.95,9.553,8.826,9.939,8.504,7.678,9.281,8.849,15.188,15.634,19.292,8.812,7.414,9.104,11.45,7.732,7.754,6.422,7.377,8.384,4.771,5.046,6.192,11.763,11.656,11.101,8.794,16.003,10.451,9.674
SM 38:1;2,0.387,3.997,11.035,7.804,4.045,2.476,1.526,11.701,8.974,8.515,4.788,5.612,7.999,4.439,7.276,6.277,3.85,4.637,2.886,3.46,4.774,2.452,1.856,3.027,6.452,6.772,6.051,2.868,8.183,9.57,8.122
SM 38:2;2,0,4.005,5.232,4.423,4.945,3.793,3.187,6.589,5.283,7.114,5.882,6.493,4.278,3.653,4.955,5.589,3.903,4.528,3.115,3.438,4.314,3.009,2.633,3.681,5.691,5.645,5.542,4.068,8.093,5.674,5.904
SM 39:1;2,0,2.181,6.618,4.902,0,0,0,5.757,5.772,4.498,0,2.2,3.413,2.661,3.092,2.774,1.621,2.02,0,0,1.602,0,0,1.507,2.51,2.573,2.357,1.493,2.493,4.624,4.186
SM 40:1;2,0,14.704,31.267,26.487,13.988,9.907,7.972,27.04,24.783,29.67,13.344,15.932,25.042,19.058,23.032,20.996,18.62,20.675,15.451,16.964,19.211,9.287,8.274,10.554,24.281,25.315,21.917,15.704,24.986,27.318,24.867
SM 40:2;2,0,14.416,22.876,19.14,12.878,10.647,8.12,25.055,20.976,23.954,13.49,14.752,19.133,14.455,18.096,15.779,15.358,19.023,13.409,16.016,15.69,9.438,8.34,11.91,17.279,16.968,16.208,11.385,21.837,20.613,22.105
SM 41:1;2,0,4.778,14.518,11.373,3.655,2.495,1.62,11.601,10.565,12.828,2.909,6.12,8.698,6.312,7.648,7.2,5.137,6.575,4.742,5.673,6.255,2.221,1.779,3.085,6.727,8.298,7.156,4.873,7.119,11.41,10.308
SM 41:2;2,0,6.042,11.23,9.214,5.248,4.152,3.259,12.001,9.824,10.726,5.686,6.515,7.738,5.918,7.605,7.694,5.016,6.599,5.028,5.398,5.195,4.054,3.492,5.133,7.012,7.02,7.384,4.759,8.731,10.445,10.614
SM 42:1;2,0,8.353,19.395,17.448,10.145,7.727,5.663,15.182,13.688,20.33,8.261,9.67,16.031,12.806,14.206,11.556,13.552,16.58,12.812,13.832,14.759,5.918,5.046,6.765,18.753,18.839,16.465,10.689,18.22,15.649,14.117
SM 42:2;2,0,53.695,60.272,53.849,82.658,63.48,47.052,66.117,52.473,78.39,66.906,55.245,65.733,49.231,71.652,74.105,63.362,76.45,55.509,66.714,70.914,42.758,34.211,44.944,73.806,72.613,76.482,52.391,91.283,67.781,79.172
SM 43:2;2,0,2.859,3.221,2.576,2.556,1.669,0,3.235,2.583,2.754,1.803,0,3.837,2.566,3.932,2.85,1.518,0,0,0,0,2.046,1.296,2.324,2.959,2.979,2.644,1.591,2.501,3.154,3.216
